# 10.0 sps, start/stop: 50/0 mA (5 s), channels: 3
# V (#ffffff00), min: 5.06253, max: 5.10755
# I (#ff00ff00), min: 0.30898, max: 0.43248
# P (#ffff55ff), min: 1.5744879247999999, max: 2.1943083744
Time,Voltage,Current,Power
0.00000000,5.09924000,0.31184000,1.59014700
0.10000000,5.09916000,0.31183000,1.59007106
0.20000000,5.09912000,0.31201000,1.59097643
0.30000000,5.09896000,0.31237000,1.59276214
0.40000000,5.09896000,0.31271000,1.59449578
0.50000000,5.09900000,0.31310000,1.59649690
0.60000000,5.09912000,0.31339000,1.59801322
0.70000000,5.09908000,0.31339000,1.59800068
0.80000000,5.09912000,0.31329000,1.59750330
0.90000000,5.09920000,0.31329000,1.59752837
1.00000000,5.09967000,0.31200000,1.59109704
1.10000000,5.09970000,0.31198000,1.59100441
1.20000000,5.09994000,0.31189000,1.59062029
1.30000000,5.10013000,0.31152000,1.58879250
1.40000000,5.10029000,0.31115000,1.58695523
1.50000000,5.10033000,0.31076000,1.58497855
1.60000000,5.10041000,0.31041000,1.58321827
1.70000000,5.10049000,0.31037000,1.58303908
1.80000000,5.10064000,0.31035000,1.58298362
1.90000000,5.10084000,0.31034000,1.58299469
2.00000000,5.10096000,0.31033000,1.58298092
2.10000000,5.10107000,0.31033000,1.58301505
2.20000000,5.10111000,0.31032000,1.58297646
2.30000000,5.10115000,0.31030000,1.58288684
2.40000000,5.10123000,0.31033000,1.58306471
2.50000000,5.10139000,0.31033000,1.58311436
2.60000000,5.10139000,0.31033000,1.58311436
2.70000000,5.10131000,0.31071000,1.58502803
2.80000000,5.10123000,0.31107000,1.58683962
2.90000000,5.10107000,0.31145000,1.58872825
3.00000000,5.10084000,0.31180000,1.59044191
3.10000000,5.10068000,0.31200000,1.59141216
3.20000000,5.10053000,0.31201000,1.59141637
3.30000000,5.10049000,0.31201000,1.59140388
3.40000000,5.10041000,0.31201000,1.59137892
3.50000000,5.10029000,0.31201000,1.59134148
3.60000000,5.10013000,0.31204000,1.59144457
3.70000000,5.10002000,0.31184000,1.59039024
3.80000000,5.10002000,0.31143000,1.58829923
3.90000000,5.10002000,0.31110000,1.58661622
4.00000000,5.10006000,0.31075000,1.58484365
4.10000000,5.10010000,0.31047000,1.58342805
4.20000000,5.10013000,0.31047000,1.58343736
4.30000000,5.10021000,0.31048000,1.58351320
4.40000000,5.10013000,0.31047000,1.58343736
4.50000000,5.10033000,0.31047000,1.58349946
4.60000000,5.10045000,0.31046000,1.58348571
4.70000000,5.10072000,0.31045000,1.58351852
4.80000000,5.10084000,0.31040000,1.58330074
4.90000000,5.10092000,0.31040000,1.58332557
5.00000000,5.10107000,0.31041000,1.58342314
5.10000000,5.10111000,0.31045000,1.58363960
5.20000000,5.10107000,0.31080000,1.58541256
5.30000000,5.10103000,0.31114000,1.58713447
5.40000000,5.10103000,0.31151000,1.58902186
5.50000000,5.10092000,0.31187000,1.59082392
5.60000000,5.10080000,0.31194000,1.59114355
5.70000000,5.10068000,0.31195000,1.59115713
5.80000000,5.08504000,0.35231000,1.79151044
5.90000000,5.09845000,0.34533000,1.76064774
6.00000000,5.09756000,0.35305000,1.79969356
6.10000000,5.07378000,0.34957000,1.77364127
6.20000000,5.09568000,0.30948000,1.57701105
6.30000000,5.09564000,0.31147000,1.58713899
6.40000000,5.09556000,0.31023000,1.58079558
6.50000000,5.09560000,0.30973000,1.57826019
6.60000000,5.09560000,0.31023000,1.58080799
6.70000000,5.09556000,0.31023000,1.58079558
6.80000000,5.09615000,0.31023000,1.58097861
6.90000000,5.09740000,0.31048000,1.58264075
7.00000000,5.09806000,0.31946000,1.62862625
7.10000000,5.09951000,0.31312000,1.59675857
7.20000000,5.09986000,0.31089000,1.58549548
7.30000000,5.09982000,0.31086000,1.58533005
7.40000000,5.09970000,0.31089000,1.58544573
7.50000000,5.09959000,0.31090000,1.58546253
7.60000000,5.09947000,0.31107000,1.58629213
7.70000000,5.09939000,0.31141000,1.58800104
7.80000000,5.09920000,0.31176000,1.58972659
7.90000000,5.09916000,0.31212000,1.59154982
8.00000000,5.09912000,0.31242000,1.59306707
8.10000000,5.09920000,0.31223000,1.59212322
8.20000000,5.09927000,0.31203000,1.59112522
8.30000000,5.09920000,0.31205000,1.59120536
8.40000000,5.09927000,0.31204000,1.59117621
8.50000000,5.09927000,0.31201000,1.59102323
8.60000000,5.09931000,0.31192000,1.59057678
8.70000000,5.09951000,0.31166000,1.58931329
8.80000000,5.09955000,0.31131000,1.58754091
8.90000000,5.09963000,0.31095000,1.58572995
9.00000000,5.09974000,0.31058000,1.58387725
9.10000000,5.09970000,0.31052000,1.58355884
9.20000000,5.09955000,0.31051000,1.58346127
9.30000000,5.09959000,0.31052000,1.58352469
