# 10.0 sps, start/stop: 50/0 mA (5 s), channels: 3
# V (#ffffff00), min: 5.06378, max: 5.10505
# I (#ff00ff00), min: 0.30923, max: 0.42202
# P (#ffff55ff), min: 1.5754340809999998, max: 2.1407091106
Time,Voltage,Current,Power
0.00000000,5.10189000,0.31056000,1.58444296
0.10000000,5.10197000,0.31068000,1.58508004
0.20000000,5.10189000,0.31068000,1.58505519
0.30000000,5.10174000,0.31092000,1.58623300
0.40000000,5.10170000,0.31125000,1.58790413
0.50000000,5.10170000,0.31162000,1.58979175
0.60000000,5.10170000,0.31198000,1.59162837
0.70000000,5.10162000,0.31217000,1.59257272
0.80000000,5.10139000,0.31234000,1.59336815
0.90000000,5.10135000,0.31240000,1.59366174
1.00000000,5.10119000,0.31240000,1.59361176
1.10000000,5.10115000,0.31207000,1.59191588
1.20000000,5.10111000,0.31208000,1.59195441
1.30000000,5.10123000,0.31191000,1.59112465
1.40000000,5.10131000,0.31160000,1.58956820
1.50000000,5.10139000,0.31124000,1.58775662
1.60000000,5.10131000,0.31089000,1.58594627
1.70000000,5.10131000,0.31059000,1.58441587
1.80000000,5.10131000,0.31050000,1.58395675
1.90000000,5.10135000,0.31044000,1.58366309
2.00000000,5.10131000,0.31041000,1.58349764
2.10000000,5.10119000,0.31044000,1.58361342
2.20000000,5.10111000,0.31090000,1.58593510
2.30000000,5.10107000,0.31090000,1.58592266
2.40000000,5.10092000,0.31086000,1.58567199
2.50000000,5.10088000,0.31089000,1.58581258
2.60000000,5.10096000,0.31089000,1.58583745
2.70000000,5.10096000,0.31095000,1.58614351
2.80000000,5.10088000,0.31128000,1.58780193
2.90000000,5.10080000,0.31166000,1.58971533
3.00000000,5.10076000,0.31201000,1.59148813
3.10000000,5.10072000,0.31236000,1.59326090
3.20000000,5.10084000,0.31199000,1.59141107
3.30000000,5.10076000,0.31196000,1.59123309
3.40000000,5.10072000,0.31240000,1.59346493
3.50000000,5.10076000,0.31240000,1.59347742
3.60000000,5.10080000,0.31237000,1.59333690
3.70000000,5.10076000,0.31237000,1.59332440
3.80000000,5.10076000,0.31207000,1.59179417
3.90000000,5.10080000,0.31170000,1.58991936
4.00000000,5.10084000,0.31131000,1.58794250
4.10000000,5.10092000,0.31096000,1.58618208
4.20000000,5.10099000,0.31079000,1.58533668
4.30000000,5.10096000,0.31079000,1.58532736
4.40000000,5.10107000,0.31044000,1.58357617
4.50000000,5.10111000,0.31036000,1.58318050
4.60000000,5.10127000,0.31035000,1.58317914
4.70000000,5.10139000,0.31034000,1.58316537
4.80000000,5.10162000,0.31049000,1.58400199
4.90000000,5.10178000,0.31046000,1.58389862
5.00000000,5.10189000,0.31045000,1.58388175
5.10000000,5.10189000,0.31045000,1.58388175
5.20000000,5.10181000,0.31061000,1.58467320
5.30000000,5.10170000,0.31096000,1.58642463
5.40000000,5.10154000,0.31132000,1.58821143
5.50000000,5.10139000,0.31168000,1.59000124
5.60000000,5.10111000,0.31200000,1.59154632
5.70000000,5.10115000,0.31202000,1.59166082
5.80000000,5.10103000,0.31187000,1.59085823
5.90000000,5.10096000,0.31187000,1.59083640
6.00000000,5.10076000,0.31187000,1.59077402
6.10000000,5.10080000,0.31189000,1.59088851
6.20000000,5.10080000,0.31180000,1.59042944
6.30000000,5.10092000,0.31145000,1.58868153
6.40000000,5.10103000,0.31111000,1.58698144
6.50000000,5.10115000,0.31074000,1.58513135
6.60000000,5.10119000,0.31040000,1.58340938
6.70000000,5.10099000,0.31033000,1.58299023
6.80000000,5.10096000,0.31032000,1.58292991
6.90000000,5.10096000,0.31033000,1.58298092
7.00000000,5.10096000,0.31034000,1.58303193
7.10000000,5.10099000,0.31033000,1.58299023
7.20000000,5.10096000,0.31033000,1.58298092
7.30000000,5.10088000,0.31034000,1.58300710
7.40000000,5.10072000,0.31033000,1.58290644
7.50000000,5.10064000,0.31033000,1.58288161
7.60000000,5.10064000,0.31037000,1.58308564
7.70000000,5.10053000,0.31067000,1.58458166
7.80000000,5.10049000,0.31105000,1.58650741
7.90000000,5.10021000,0.31140000,1.58820539
8.00000000,5.09998000,0.31177000,1.59002076
8.10000000,5.09982000,0.31198000,1.59104184
8.20000000,5.09982000,0.31198000,1.59104184
8.30000000,5.09951000,0.36202000,1.84612461
8.40000000,5.09806000,0.34309000,1.74909341
8.50000000,5.09736000,0.34384000,1.75267626
8.60000000,5.09572000,0.39588000,2.01729363
8.70000000,5.09486000,0.33294000,1.69628269
8.80000000,5.09431000,0.33547000,1.70898818
8.90000000,5.10505000,0.31023000,1.58373966
9.00000000,5.09470000,0.30923000,1.57543408
9.10000000,5.09486000,0.31023000,1.58057842
9.20000000,5.09490000,0.31073000,1.58313828
9.30000000,5.09490000,0.31048000,1.58186455
9.40000000,5.09646000,0.30973000,1.57852656
9.50000000,5.09744000,0.31197000,1.59024836
9.60000000,5.07003000,0.38891000,1.97178537
9.70000000,5.10006000,0.31478000,1.60539689
9.80000000,5.10076000,0.31190000,1.59092704
9.90000000,5.10080000,0.31088000,1.58573670
10.00000000,5.10076000,0.31085000,1.58557125
10.10000000,5.10076000,0.31090000,1.58582628
10.20000000,5.10068000,0.31124000,1.58753564
10.30000000,5.10064000,0.31158000,1.58925741
10.40000000,5.10056000,0.31193000,1.59101768
10.50000000,5.10049000,0.31227000,1.59273001
10.60000000,5.10041000,0.31236000,1.59316407
10.70000000,5.10053000,0.31191000,1.59090631
10.80000000,5.10060000,0.31197000,1.59123418
10.90000000,5.10072000,0.31204000,1.59162867
11.00000000,5.10092000,0.31205000,1.59174209
11.10000000,5.10111000,0.31202000,1.59164834
11.20000000,5.10142000,0.31173000,1.59026566
11.30000000,5.10154000,0.31138000,1.58851753
11.40000000,5.10174000,0.31102000,1.58674317
11.50000000,5.10193000,0.31067000,1.58501659
11.60000000,5.10201000,0.31050000,1.58417410
11.70000000,5.10197000,0.31048000,1.58405965
11.80000000,5.10193000,0.31039000,1.58358805
