# 10.0 sps, start/stop: 50/0 mA (5 s), channels: 3
# V (#ffffff00), min: 5.06003, max: 5.1063
# I (#ff00ff00), min: 0.30898, max: 0.42327
# P (#ffff55ff), min: 1.5742469203999998, max: 2.1454625106
Time,Voltage,Current,Power
0.00000000,5.09982000,0.31264000,1.59440772
0.10000000,5.09982000,0.31264000,1.59440772
0.20000000,5.09994000,0.31265000,1.59449624
0.30000000,5.09994000,0.31250000,1.59373125
0.40000000,5.10002000,0.31215000,1.59197124
0.50000000,5.10013000,0.31179000,1.59016953
0.60000000,5.10013000,0.31143000,1.58833349
0.70000000,5.10021000,0.31106000,1.58647132
0.80000000,5.10013000,0.31135000,1.58792548
0.90000000,5.10021000,0.31149000,1.58866441
1.00000000,5.10041000,0.31094000,1.58592149
1.10000000,5.10045000,0.31091000,1.58578091
1.20000000,5.10045000,0.31090000,1.58572991
1.30000000,5.10056000,0.31090000,1.58576410
1.40000000,5.10072000,0.31091000,1.58586486
1.50000000,5.10072000,0.31089000,1.58576284
1.60000000,5.10080000,0.31089000,1.58578771
1.70000000,5.10088000,0.31090000,1.58586359
1.80000000,5.08379000,0.36276000,1.84419566
1.90000000,5.09943000,0.35878000,1.82957350
2.00000000,5.09818000,0.34708000,1.76947631
2.10000000,5.08254000,0.39936000,2.02976317
2.20000000,5.10630000,0.31222000,1.59428899
2.30000000,5.09560000,0.31222000,1.59094823
2.40000000,5.09529000,0.30998000,1.57943799
2.50000000,5.09517000,0.30898000,1.57430563
2.60000000,5.09509000,0.31023000,1.58064977
2.70000000,5.09498000,0.31197000,1.58948091
2.80000000,5.09486000,0.30923000,1.57548356
2.90000000,5.09584000,0.31197000,1.58974920
3.00000000,5.09724000,0.32163000,1.63942530
3.10000000,5.06628000,0.31719000,1.60697335
3.20000000,5.09974000,0.31112000,1.58663111
3.30000000,5.09970000,0.31101000,1.58605770
3.40000000,5.09970000,0.31101000,1.58605770
3.50000000,5.09970000,0.31098000,1.58590471
3.60000000,5.09967000,0.31100000,1.58599737
3.70000000,5.09967000,0.31091000,1.58553840
3.80000000,5.06003000,0.37347000,1.88976940
3.90000000,5.09920000,0.31229000,1.59242917
4.00000000,5.09912000,0.31230000,1.59245518
4.10000000,5.09900000,0.31229000,1.59236671
4.20000000,5.09908000,0.31206000,1.59121890
4.30000000,5.09892000,0.31243000,1.59305558
4.40000000,5.09881000,0.31278000,1.59480579
4.50000000,5.09869000,0.31313000,1.59655280
4.60000000,5.09865000,0.31350000,1.59842678
4.70000000,5.09869000,0.31349000,1.59838833
4.80000000,5.09865000,0.31349000,1.59837579
4.90000000,5.09912000,0.31205000,1.59118040
5.00000000,5.09908000,0.31204000,1.59111692
5.10000000,5.09916000,0.31202000,1.59103990
5.20000000,5.09916000,0.31198000,1.59083594
5.30000000,5.09931000,0.31161000,1.58899599
5.40000000,5.09951000,0.31124000,1.58717149
5.50000000,5.09967000,0.31089000,1.58543641
5.60000000,5.09982000,0.31054000,1.58369810
5.70000000,5.09994000,0.31055000,1.58378637
5.80000000,5.09994000,0.31056000,1.58383737
5.90000000,5.09994000,0.31055000,1.58378637
6.00000000,5.10002000,0.31053000,1.58370921
6.10000000,5.10010000,0.31051000,1.58363205
6.20000000,5.10006000,0.31054000,1.58377263
6.30000000,5.09998000,0.31054000,1.58374779
6.40000000,5.10017000,0.31052000,1.58370479
6.50000000,5.10021000,0.31052000,1.58371721
6.60000000,5.10017000,0.31053000,1.58375579
6.70000000,5.10010000,0.31095000,1.58587610
6.80000000,5.10002000,0.31129000,1.58758523
6.90000000,5.09994000,0.31166000,1.58944730
7.00000000,5.09990000,0.31203000,1.59132180
7.10000000,5.09959000,0.31289000,1.59561072
7.20000000,5.09943000,0.31290000,1.59561165
7.30000000,5.09943000,0.31291000,1.59566264
7.40000000,5.09931000,0.31290000,1.59557410
7.50000000,5.09927000,0.31291000,1.59561258
7.60000000,5.09935000,0.31291000,1.59563761
7.70000000,5.09951000,0.31242000,1.59318891
7.80000000,5.09963000,0.31209000,1.59154353
7.90000000,5.09967000,0.31174000,1.58977113
8.00000000,5.09970000,0.31135000,1.58779160
8.10000000,5.09998000,0.31079000,1.58502278
8.20000000,5.10006000,0.31040000,1.58305862
8.30000000,5.09998000,0.31040000,1.58303379
8.40000000,5.10002000,0.31042000,1.58314821
8.50000000,5.09998000,0.31042000,1.58313579
8.60000000,5.09990000,0.31044000,1.58321296
8.70000000,5.09986000,0.31045000,1.58325154
8.80000000,5.09982000,0.31054000,1.58369810
8.90000000,5.09974000,0.31056000,1.58377525
9.00000000,5.09970000,0.31057000,1.58381383
9.10000000,5.09974000,0.31058000,1.58387725
9.20000000,5.09974000,0.31095000,1.58576415
9.30000000,5.09978000,0.31129000,1.58751052
9.40000000,5.09970000,0.31163000,1.58921951
9.50000000,5.09967000,0.31198000,1.59099505
9.60000000,5.09959000,0.31214000,1.59178602
9.70000000,5.09967000,0.31213000,1.59176000
9.80000000,5.09967000,0.31208000,1.59150501
9.90000000,5.09970000,0.31201000,1.59115740
10.00000000,5.09990000,0.31199000,1.59111780
10.10000000,5.09994000,0.31198000,1.59107928
10.20000000,5.09994000,0.31172000,1.58975330
10.30000000,5.10002000,0.31138000,1.58804423
10.40000000,5.10017000,0.31103000,1.58630588
10.50000000,5.10041000,0.31068000,1.58459538
10.60000000,5.10045000,0.31045000,1.58343470
10.70000000,5.10037000,0.31044000,1.58335886
10.80000000,5.10041000,0.31047000,1.58352429
10.90000000,5.10041000,0.31050000,1.58367730
11.00000000,5.10037000,0.31049000,1.58361388
11.10000000,5.10037000,0.31051000,1.58371589
11.20000000,5.10064000,0.31048000,1.58364671
11.30000000,5.10064000,0.31047000,1.58359570
11.40000000,5.10064000,0.31046000,1.58354469
11.50000000,5.10045000,0.31046000,1.58348571
11.60000000,5.10045000,0.31057000,1.58404676
11.70000000,5.10037000,0.31099000,1.58616407
11.80000000,5.10029000,0.31132000,1.58782228
11.90000000,5.10010000,0.31165000,1.58944617
12.00000000,5.09990000,0.31202000,1.59127080
12.10000000,5.09978000,0.31202000,1.59123336
12.20000000,5.09963000,0.31205000,1.59133954
12.30000000,5.09955000,0.31205000,1.59131458
12.40000000,5.09951000,0.31205000,1.59130210
12.50000000,5.09951000,0.31203000,1.59120011
12.60000000,5.09939000,0.31201000,1.59106067
12.70000000,5.09943000,0.31157000,1.58882941
12.80000000,5.09951000,0.31121000,1.58701851
12.90000000,5.09974000,0.31085000,1.58525418
13.00000000,5.09986000,0.31049000,1.58345553
13.10000000,5.10002000,0.31039000,1.58299521
13.20000000,5.09994000,0.31040000,1.58302138
13.30000000,5.10002000,0.31040000,1.58304621
13.40000000,5.10013000,0.31040000,1.58308035
13.50000000,5.10010000,0.31040000,1.58307104
13.60000000,5.10013000,0.31041000,1.58313135
13.70000000,5.10013000,0.31041000,1.58313135
13.80000000,5.10010000,0.31078000,1.58500908
13.90000000,5.10013000,0.31082000,1.58522241
14.00000000,5.10013000,0.31081000,1.58517141
14.10000000,5.10006000,0.31103000,1.58627166
14.20000000,5.09998000,0.31138000,1.58803177
14.30000000,5.09998000,0.31172000,1.58976577
14.40000000,5.09994000,0.31207000,1.59153828
14.50000000,5.09990000,0.31231000,1.59274977
14.60000000,5.09994000,0.31232000,1.59281326
14.70000000,5.10002000,0.31239000,1.59319525
14.80000000,5.06878000,0.42327000,2.14546251
14.90000000,5.09783000,0.34210000,1.74396764
15.00000000,5.09677000,0.35007000,1.78422627
15.10000000,5.09529000,0.31048000,1.58198564
15.20000000,5.09525000,0.31098000,1.58452084
15.30000000,5.09509000,0.33008000,1.68178731
15.40000000,5.09513000,0.31048000,1.58193596
15.50000000,5.09505000,0.31197000,1.58950275
15.60000000,5.09498000,0.30898000,1.57424692
15.70000000,5.09498000,0.31297000,1.59457589
15.80000000,5.09568000,0.31122000,1.58587753
15.90000000,5.09697000,0.30998000,1.57995876
16.00000000,5.09779000,0.31828000,1.62252460
16.10000000,5.09951000,0.31142000,1.58808940
16.20000000,5.09955000,0.31086000,1.58524611
16.30000000,5.09963000,0.31083000,1.58511799
16.40000000,5.09959000,0.31080000,1.58495257
16.50000000,5.09963000,0.31080000,1.58496500
16.60000000,5.09951000,0.31114000,1.58666154
16.70000000,5.09935000,0.31147000,1.58829454
16.80000000,5.09927000,0.31185000,1.59020735
16.90000000,5.09924000,0.31220000,1.59198273
17.00000000,5.09920000,0.31230000,1.59248016
17.10000000,5.09927000,0.31205000,1.59122720
17.20000000,5.09939000,0.31203000,1.59116266
17.30000000,5.09959000,0.31201000,1.59112308
17.40000000,5.09959000,0.31201000,1.59112308
17.50000000,5.09970000,0.31199000,1.59105540
17.60000000,5.09990000,0.31170000,1.58963883
17.70000000,5.10010000,0.31137000,1.58801814
17.80000000,5.10017000,0.31100000,1.58615287
17.90000000,5.10037000,0.31059000,1.58412392
18.00000000,5.10041000,0.31039000,1.58311626
18.10000000,5.10060000,0.31040000,1.58322624
18.20000000,5.10049000,0.31039000,1.58314109
18.30000000,5.10037000,0.31040000,1.58315485
18.40000000,5.10029000,0.31041000,1.58318102
18.50000000,5.10041000,0.31043000,1.58332028
18.60000000,5.09994000,0.34110000,1.73958953
18.70000000,5.09916000,0.34533000,1.76089292
18.80000000,5.09892000,0.31590000,1.61074883
18.90000000,5.09849000,0.31714000,1.61693512
19.00000000,5.09834000,0.31759000,1.61918180
19.10000000,5.09806000,0.31823000,1.62235563
19.20000000,5.09795000,0.31891000,1.62578723
19.30000000,5.09775000,0.31956000,1.62903699
19.40000000,5.09759000,0.32023000,1.63240125
19.50000000,5.09748000,0.32056000,1.63404819
19.60000000,5.09759000,0.31999000,1.63117782
19.70000000,5.09822000,0.31745000,1.61842994
19.80000000,5.09853000,0.31609000,1.61159435
19.90000000,5.09873000,0.31527000,1.60747661
20.00000000,5.09873000,0.31517000,1.60696673
20.10000000,5.09884000,0.31484000,1.60531879
20.20000000,5.09884000,0.31449000,1.60353419
20.30000000,5.09888000,0.31415000,1.60181315
20.40000000,5.09888000,0.31380000,1.60002854
20.50000000,5.09884000,0.31370000,1.59950611
20.60000000,5.09881000,0.31370000,1.59949670
20.70000000,5.09873000,0.31380000,1.59998147
20.80000000,5.09865000,0.31380000,1.59995637
20.90000000,5.09865000,0.31380000,1.59995637
21.00000000,5.09869000,0.31380000,1.59996892
21.10000000,5.09865000,0.31380000,1.59995637
21.20000000,5.09865000,0.31380000,1.59995637
21.30000000,5.09869000,0.31379000,1.59991794
21.40000000,5.09881000,0.31378000,1.59990460
21.50000000,5.09869000,0.31402000,1.60109063
21.60000000,5.09857000,0.31438000,1.60288844
21.70000000,5.09853000,0.31464000,1.60420148
21.80000000,5.09845000,0.31499000,1.60596077
21.90000000,5.09845000,0.31523000,1.60718439
22.00000000,5.09849000,0.31523000,1.60719700
22.10000000,5.09853000,0.31524000,1.60726060
22.20000000,5.09857000,0.31524000,1.60727321
22.30000000,5.09861000,0.31523000,1.60723483
22.40000000,5.09857000,0.31524000,1.60727321
22.50000000,5.09865000,0.31508000,1.60648264
22.60000000,5.09877000,0.31471000,1.60463391
22.70000000,5.09888000,0.31436000,1.60288392
22.80000000,5.09896000,0.31400000,1.60107344
22.90000000,5.09904000,0.31366000,1.59936489
23.00000000,5.09912000,0.31366000,1.59938998
23.10000000,5.09908000,0.31366000,1.59937743
23.20000000,5.09912000,0.31365000,1.59933899
23.30000000,5.09920000,0.31365000,1.59936408
23.40000000,5.09924000,0.31365000,1.59937663
23.50000000,5.09935000,0.31363000,1.59930914
23.60000000,5.09935000,0.33861000,1.72669090
23.70000000,5.09920000,0.31496000,1.60604403
23.80000000,5.09927000,0.31464000,1.60443431
23.90000000,5.09947000,0.31433000,1.60291641
24.00000000,5.09943000,0.31439000,1.60320980
24.10000000,5.09939000,0.31443000,1.60340120
24.20000000,5.09927000,0.31447000,1.60356744
24.30000000,5.09924000,0.31450000,1.60371098
24.40000000,5.09924000,0.31432000,1.60279312
24.50000000,5.09927000,0.31400000,1.60117078
24.60000000,5.09931000,0.31369000,1.59960255
24.70000000,5.09955000,0.31196000,1.59085562
24.80000000,5.09951000,0.31201000,1.59109812
24.90000000,5.09943000,0.31201000,1.59107315
25.00000000,5.09947000,0.31173000,1.58965778
25.10000000,5.08879000,0.33911000,1.72565958
25.20000000,5.09935000,0.31162000,1.58905945
25.30000000,5.09931000,0.31159000,1.58889400
25.40000000,5.09927000,0.31170000,1.58944246
25.50000000,5.09916000,0.31202000,1.59103990
25.60000000,5.09900000,0.31236000,1.59272364
25.70000000,5.09900000,0.31266000,1.59425334
25.80000000,5.09888000,0.31297000,1.59579647
25.90000000,5.09881000,0.31327000,1.59730421
26.00000000,5.09869000,0.31359000,1.59889820
26.10000000,5.09869000,0.31391000,1.60052978
26.20000000,5.09877000,0.31373000,1.59963711
26.30000000,5.09884000,0.31372000,1.59960808
26.40000000,5.09881000,0.31385000,1.60026152
26.50000000,5.09869000,0.31419000,1.60195741
26.60000000,5.09861000,0.31454000,1.60371679
26.70000000,5.09853000,0.31490000,1.60552710
26.80000000,5.09842000,0.31528000,1.60742986
26.90000000,5.09842000,0.31529000,1.60748084
27.00000000,5.09838000,0.31531000,1.60757020
27.10000000,5.09834000,0.31530000,1.60750660
27.20000000,5.08504000,0.36326000,1.84719163
27.30000000,5.09677000,0.34558000,1.76134178
27.40000000,5.09587000,0.34658000,1.76612662
27.50000000,5.08004000,0.35231000,1.78974889
27.60000000,5.09373000,0.31396000,1.59922747
27.70000000,5.09376000,0.31421000,1.60051033
27.80000000,5.09396000,0.31421000,1.60057317
27.90000000,5.09400000,0.31371000,1.59803874
28.00000000,5.09412000,0.31371000,1.59807639
