# 10.0 sps, start/stop: 50/0 mA (5 s), channels: 3
# V (#ffffff00), min: 5.06878, max: 5.10005
# I (#ff00ff00), min: 0.34758, max: 0.41878
# P (#ffff55ff), min: 1.7676250416, max: 2.1302877942
Time,Voltage,Current,Power
0.00000000,5.08993000,0.35350000,1.79929025
0.10000000,5.08982000,0.35393000,1.80143999
0.20000000,5.08982000,0.35383000,1.80093101
0.30000000,5.08982000,0.35384000,1.80098191
0.40000000,5.09013000,0.35274000,1.79549246
0.50000000,5.09025000,0.35250000,1.79431312
0.60000000,5.09029000,0.35240000,1.79381820
0.70000000,5.09040000,0.35235000,1.79360244
0.80000000,5.09048000,0.35191000,1.79139082
0.90000000,5.09064000,0.37770000,1.92273473
1.00000000,5.09001000,0.38393000,1.95420754
1.10000000,5.08978000,0.35597000,1.81180899
1.20000000,5.08997000,0.35591000,1.81157122
1.30000000,5.09013000,0.35592000,1.81167907
1.40000000,5.09025000,0.35588000,1.81151817
1.50000000,5.09033000,0.35586000,1.81144483
1.60000000,5.09036000,0.35596000,1.81196455
1.70000000,5.09033000,0.35602000,1.81225929
1.80000000,5.09048000,0.35596000,1.81200726
1.90000000,5.09052000,0.35580000,1.81120702
2.00000000,5.09115000,0.35329000,1.79865238
2.10000000,5.09173000,0.35075000,1.78592430
2.20000000,5.09165000,0.35096000,1.78696548
2.30000000,5.09158000,0.35130000,1.78867205
2.40000000,5.09150000,0.35170000,1.79068055
2.50000000,5.09134000,0.35211000,1.79271173
2.60000000,5.09130000,0.35230000,1.79366499
2.70000000,5.09122000,0.35229000,1.79358589
2.80000000,5.09115000,0.35233000,1.79376488
2.90000000,5.09115000,0.35243000,1.79427399
3.00000000,5.09115000,0.35248000,1.79452855
3.10000000,5.09111000,0.35250000,1.79461627
3.20000000,5.09103000,0.35234000,1.79377351
3.30000000,5.09103000,0.35244000,1.79428261
3.40000000,5.09107000,0.35201000,1.79210755
3.50000000,5.09111000,0.35163000,1.79018701
3.60000000,5.09107000,0.35135000,1.78874744
3.70000000,5.09099000,0.35135000,1.78871934
3.80000000,5.09095000,0.35137000,1.78880710
3.90000000,5.09079000,0.35145000,1.78915815
4.00000000,5.09079000,0.35147000,1.78925996
4.10000000,5.09064000,0.35168000,1.79027628
4.20000000,5.09064000,0.35175000,1.79063262
4.30000000,5.09068000,0.35125000,1.78810135
4.40000000,5.09072000,0.35132000,1.78847175
4.50000000,5.09072000,0.35140000,1.78887901
4.60000000,5.09079000,0.35128000,1.78829271
4.70000000,5.09087000,0.35153000,1.78959353
4.80000000,5.09091000,0.35182000,1.79108396
4.90000000,5.09091000,0.35211000,1.79256032
5.00000000,5.09076000,0.35244000,1.79418745
5.10000000,5.09072000,0.35253000,1.79463152
5.20000000,5.09072000,0.35223000,1.79310431
5.30000000,5.09072000,0.35229000,1.79340975
5.40000000,5.09068000,0.35228000,1.79334475
5.50000000,5.09060000,0.35225000,1.79316385
5.60000000,5.09044000,0.35282000,1.79600904
5.70000000,5.09036000,0.35296000,1.79669347
5.80000000,5.08982000,0.35473000,1.80551185
5.90000000,5.08974000,0.35474000,1.80553437
6.00000000,5.08970000,0.35471000,1.80536749
6.10000000,5.08966000,0.35480000,1.80581137
6.20000000,5.08954000,0.35509000,1.80724476
6.30000000,5.08939000,0.35538000,1.80866742
6.40000000,5.08919000,0.35568000,1.81012310
6.50000000,5.08911000,0.35600000,1.81172316
6.60000000,5.08911000,0.35588000,1.81111247
6.70000000,5.08904000,0.35591000,1.81124023
6.80000000,5.08931000,0.35478000,1.80558540
6.90000000,5.08939000,0.35429000,1.80311998
7.00000000,5.08951000,0.35424000,1.80290802
7.10000000,5.08954000,0.35435000,1.80347850
7.20000000,5.08958000,0.35475000,1.80552851
7.30000000,5.08970000,0.35520000,1.80786144
7.40000000,5.08982000,0.35552000,1.80953281
7.50000000,5.08986000,0.35580000,1.81097219
7.60000000,5.08997000,0.35577000,1.81085863
7.70000000,5.09005000,0.35575000,1.81078529
7.80000000,5.09021000,0.35571000,1.81063860
7.90000000,5.09036000,0.35562000,1.81023382
8.00000000,5.08947000,0.40708000,2.07182145
8.10000000,5.08865000,0.39364000,2.00309619
8.20000000,5.07253000,0.41181000,2.08891858
8.30000000,5.08689000,0.41878000,2.13028779
8.40000000,5.08595000,0.37441000,1.90423054
8.50000000,5.08595000,0.35629000,1.81207313
8.60000000,5.08591000,0.35505000,1.80575235
8.70000000,5.08587000,0.35405000,1.80065227
8.80000000,5.08583000,0.35579000,1.80948746
8.90000000,5.08575000,0.35405000,1.80060979
9.00000000,5.08646000,0.35579000,1.80971160
9.10000000,5.08751000,0.35206000,1.79110877
9.20000000,5.08806000,0.36408000,1.85246088
9.30000000,5.08896000,0.36026000,1.83334873
9.40000000,5.08997000,0.35540000,1.80897534
9.50000000,5.09001000,0.35469000,1.80537565
9.60000000,5.08990000,0.35492000,1.80650731
9.70000000,5.08982000,0.35531000,1.80846394
9.80000000,5.08982000,0.35567000,1.81029628
9.90000000,5.08974000,0.35602000,1.81204923
10.00000000,5.08962000,0.35631000,1.81348250
10.10000000,5.08954000,0.35640000,1.81391206
10.20000000,5.08970000,0.35636000,1.81376549
10.30000000,5.08978000,0.35627000,1.81333592
10.40000000,5.09001000,0.35592000,1.81163636
10.50000000,5.09009000,0.35577000,1.81090132
10.60000000,5.09021000,0.35558000,1.80997687
10.70000000,5.09033000,0.35520000,1.80808522
10.80000000,5.09044000,0.35480000,1.80608811
10.90000000,5.09048000,0.35447000,1.80442245
11.00000000,5.09060000,0.35417000,1.80293780
11.10000000,5.09056000,0.35413000,1.80272001
11.20000000,5.09044000,0.35413000,1.80267752
11.30000000,5.09033000,0.35423000,1.80314760
11.40000000,5.09021000,0.35433000,1.80361411
11.50000000,5.09021000,0.35435000,1.80371591
11.60000000,5.09017000,0.35435000,1.80370174
11.70000000,5.09013000,0.35435000,1.80368757
11.80000000,5.09009000,0.35429000,1.80336799
11.90000000,5.09013000,0.35429000,1.80338216
12.00000000,5.09005000,0.35429000,1.80335381
12.10000000,5.09001000,0.35460000,1.80491755
12.20000000,5.09009000,0.35497000,1.80682925
12.30000000,5.09005000,0.35531000,1.80854567
12.40000000,5.08997000,0.35568000,1.81040053
12.50000000,5.08997000,0.35584000,1.81121492
12.60000000,5.08993000,0.35582000,1.81109889
12.70000000,5.08993000,0.35577000,1.81084440
12.80000000,5.08982000,0.35626000,1.81329927
12.90000000,5.08974000,0.35643000,1.81413603
13.00000000,5.08970000,0.35646000,1.81427446
13.10000000,5.08966000,0.35637000,1.81380213
13.20000000,5.08974000,0.35560000,1.80991154
13.30000000,5.08982000,0.35494000,1.80658071
13.40000000,5.08993000,0.35424000,1.80305680
13.50000000,5.08997000,0.35370000,1.80032239
13.60000000,5.08993000,0.35334000,1.79847587
13.70000000,5.09005000,0.35304000,1.79699125
13.80000000,5.09017000,0.35230000,1.79326689
13.90000000,5.09017000,0.35180000,1.79072181
14.00000000,5.09025000,0.35145000,1.78896836
14.10000000,5.09044000,0.35084000,1.78592997
14.20000000,5.09052000,0.35093000,1.78641618
14.30000000,5.09052000,0.35094000,1.78646709
14.40000000,5.09052000,0.35095000,1.78651799
14.50000000,5.09048000,0.35107000,1.78711481
14.60000000,5.09048000,0.35140000,1.78879467
14.70000000,5.09044000,0.35171000,1.79035865
14.80000000,5.09040000,0.35207000,1.79217713
14.90000000,5.09033000,0.35243000,1.79398500
15.00000000,5.09029000,0.35244000,1.79402181
15.10000000,5.09013000,0.35245000,1.79401632
15.20000000,5.09001000,0.35247000,1.79407582
15.30000000,5.08993000,0.35254000,1.79440392
15.40000000,5.08990000,0.35252000,1.79429155
15.50000000,5.08986000,0.35244000,1.79387026
15.60000000,5.08993000,0.35210000,1.79216435
15.70000000,5.08997000,0.35181000,1.79070235
15.80000000,5.09005000,0.35150000,1.78915257
15.90000000,5.09021000,0.35109000,1.78712183
16.00000000,5.09040000,0.35093000,1.78637407
16.10000000,5.09048000,0.35091000,1.78630034
16.20000000,5.09052000,0.35091000,1.78631437
16.30000000,5.09064000,0.35083000,1.78594923
16.40000000,5.09076000,0.35085000,1.78609315
16.50000000,5.09083000,0.35086000,1.78616861
16.60000000,5.09083000,0.35091000,1.78642316
16.70000000,5.09076000,0.35087000,1.78619496
16.80000000,5.09068000,0.35086000,1.78611598
16.90000000,5.09064000,0.35089000,1.78625467
17.00000000,5.09044000,0.35125000,1.78801705
17.10000000,5.09040000,0.35164000,1.78998826
17.20000000,5.09025000,0.35246000,1.79410951
17.30000000,5.09005000,0.35289000,1.79622774
17.40000000,5.08990000,0.35310000,1.79724369
17.50000000,5.08974000,0.35306000,1.79698360
17.60000000,5.08970000,0.35303000,1.79681679
17.70000000,5.08974000,0.35303000,1.79683091
17.80000000,5.08974000,0.35301000,1.79672912
17.90000000,5.08970000,0.35302000,1.79676589
18.00000000,5.08974000,0.35284000,1.79586386
18.10000000,5.08978000,0.35250000,1.79414745
18.20000000,5.08990000,0.35177000,1.79047412
18.30000000,5.09013000,0.35122000,1.78775546
18.40000000,5.09044000,0.35087000,1.78608268
18.50000000,5.09052000,0.35093000,1.78641618
18.60000000,5.09060000,0.35099000,1.78674969
18.70000000,5.09064000,0.35091000,1.78635648
18.80000000,5.09072000,0.35083000,1.78597730
18.90000000,5.09072000,0.35086000,1.78613002
19.00000000,5.09072000,0.35115000,1.78760633
19.10000000,5.09072000,0.35111000,1.78740270
19.20000000,5.09076000,0.35107000,1.78721311
19.30000000,5.09072000,0.35110000,1.78735179
