config,stage,submodule,DSP
W4A4,synth_1,cnn_hw_ama_addmuladd_12s_14s_16ns_21s_30_4_1_DSP48_0_U,1
W4A4,synth_1,dense_argmax_U0,1
W4A4,synth_1,cnn_hw_mac_muladd_13ns_8s_26s_26_4_1_DSP48_0_U,1
W4A4,impl_1,cnn_hw_ama_addmuladd_16s_18s_16ns_25s_33_4_1_DSP48_0_U,1
W4A4,impl_1,cnn_hw_mac_muladd_8s_8s_16s_16_4_1_DSP48_0_U,3
W4A4,impl_1,cnn_hw_mac_muladd_8s_8s_17s_18_4_1_DSP48_0_U,1
W4A4,impl_1,cnn_hw_ama_addmuladd_12s_14s_16ns_21s_30_4_1_DSP48_0_U,1
W4A4,impl_1,dense_argmax_U0,1
W4A4,impl_1,cnn_hw_mac_muladd_13ns_8s_26s_26_4_1_DSP48_0_U,1
TerA8,synth_1,cnn_hw_ama_addmuladd_16s_18s_16ns_24s_33_4_1_DSP48_0_U,1
TerA8,synth_1,cnn_hw_mac_muladd_8s_8s_16s_16_4_1_DSP48_0_U,3
TerA8,synth_1,cnn_hw_mac_muladd_8s_8s_17s_18_4_1_DSP48_0_U,1
TerA8,synth_1,cnn_hw_mac_muladd_16ns_16s_22s_31_4_1_DSP48_0_U,1
TerA8,synth_1,dense_argmax_U0,2
TerA8,synth_1,cnn_hw_mac_muladd_17ns_8s_30s_30_4_1_DSP48_0_U,1
TerA8,impl_1,cnn_hw_ama_addmuladd_16s_18s_16ns_24s_33_4_1_DSP48_0_U,1
TerA8,impl_1,cnn_hw_mac_muladd_8s_8s_16s_16_4_1_DSP48_0_U,3
TerA8,impl_1,cnn_hw_mac_muladd_8s_8s_17s_18_4_1_DSP48_0_U,1
TerA8,impl_1,cnn_hw_mac_muladd_16ns_16s_22s_31_4_1_DSP48_0_U,1
TerA8,impl_1,dense_argmax_U0,2
TerA8,impl_1,cnn_hw_mac_muladd_17ns_8s_30s_30_4_1_DSP48_0_U,1
